date,pays,Ligue,id_ligue,nom_club,id_club,id_joueur,nom,nationalité,age(saison correspondante),id_stats,Matches_Played,Minutes*,Goals,Shots,OnTarget,Ratio but par match
2016,Germany,Bundesliga,2,(FCA),30,64,Florian Niederlechner,Allemand,26,26,29,2477,11,79,56,"0,379310345"
2016,Spain,La Liga,4,(DEP),74,66,Florin Andone,Roumaine,23,27,32,2984,12,99,42,"0,375"
2016,Spain,La Liga,4,(VIL),94,73,Gerard Moreno,Espagnole,24,28,37,3361,13,82,32,"0,351351351"
2016,Italy,Serie A,3,(CAG),19,76,Giovanni Simeone,Argentine,21,29,29,2764,12,76,35,"0,413793103"
2016,Italy,Serie A,3,(IMI),41,78,Gonzalo Higuain,Argentine,29,30,32,3138,24,134,91,"0,75"
2016,Italy,Serie A,3,(SAS),76,79,Gregoire Defrel,Française,25,31,23,2054,12,43,28,"0,52173913"
2016,Germany,Bundesliga,2,(STP),84,80,Guido Burgstaller,Autrichien,27,32,17,1494,9,45,24,"0,529411765"
2016,England,Premier League,1,(TOT),88,83,Harry Kane,Angleterre,23,33,29,2636,29,110,58,1
2016,Spain,La Liga,4,(CEL),21,84,Iago Aspas,Espagnole,29,34,25,2354,19,78,37,"0,76"
2016,Italy,Serie A,3,(BEN),9,85,Iago Falque,Espagnole,27,35,31,2633,12,65,42,"0,387096774"
2016,Spain,La Liga,4,(RMA),73,87,Isco,Espagnole,24,36,18,1690,10,32,15,"0,555555556"
2016,England,Premier League,1,(LEI),49,94,Jamie Vardy,Angleterre,29,37,33,2938,13,54,26,"0,393939394"
2016,England,Premier League,1,(RAN),70,98,Jermain Defoe,Angleterre,34,38,37,3511,15,99,31,"0,405405405"
2016,Italy,Serie A,3,(FIO),31,103,Jose CallejOn,Espagnole,29,39,37,3276,14,86,57,"0,378378378"
2016,England,Premier League,1,(BOU),15,105,Joshua King,Norvégien,24,40,31,2856,16,67,29,"0,516129032"
2016,Spain,La Liga,4,(BET),10,107,Juanmi Callejon,Espagnole,25,41,19,1849,11,48,20,"0,578947368"
2016,Spain,La Liga,4,(RMA),73,110,Karim Benzema,Française,29,42,23,1967,11,69,34,"0,47826087"
